id-локации;краткое описание;полное описание;количество стрелков;количество штурмовиков;количество огневиков;количество лутбоксов;
32;Ответвление от коридора бункера - уровень 5.;Проход идёт на восток, на юг и на юго-восток.;0;0;0;2;
33;Ответвление от коридора бункера - уровень 5.;Проход идёт на юг, в низ, на верх и на север.;0;0;0;1;
34;Ответвление от коридора бункера - уровень 5.;Проход идёт на восток и на север.;0;0;0;3;
35;Ответвление от коридора бункера - уровень 5.;Проход идёт на север, на запад и на верх.;0;0;0;2;
36;Ответвление от коридора бункера - уровень 5.;Проход идёт на юг, в низ и на запад.;0;0;0;2;
37;Ответвление от коридора бункера - уровень 6.;Проход идёт на запад и на юго-восток.;0;0;0;1;
38;Ответвление от коридора бункера - уровень 6.;Проход идёт на север, на юг и на восток.;0;0;0;2;
39;Ответвление от коридора бункера - уровень 6.;Проход идёт на север и на юг.;0;0;0;1;
40;Ответвление от коридора бункера - уровень 6.;Проход идёт на верх и на север.;0;0;0;1;
41;Ответвление от коридора бункера - уровень 6.;Тупик. Проход идёт только назад на юг.;0;0;0;2;
42;Ответвление от коридора бункера - уровень 6.;Тупик. Проход идёт только назад в низ.;0;0;0;2;
43;Ответвление от коридора бункера - уровень 7.;Проход идёт на север и на юго-восток.;0;0;0;2;
44;Ответвление от коридора бункера - уровень 7.;Проход идёт на восток, в низ и на юг.;0;0;0;1;
45;Ответвление от коридора бункера - уровень 7.;Проход идёт на запад и на верх.;0;0;0;3;
46;Ответвление от коридора бункера - уровень 7.;Проход идёт на север и на запад.;0;0;0;2;
47;Ответвление от коридора бункера - уровень 7.;Тупик. Проход идёт только назад на восток.;0;0;0;1;
48;Ответвление от коридора бункера - уровень 7.;Тупик. Проход идёт только назад на юг.;0;0;0;2;
49;Ответвление от коридора бункера - уровень 8.;Проход идёт на восток, на юг, в низ и на юго-восток.;0;0;0;2;
50;Ответвление от коридора бункера - уровень 8.;Проход идёт на верх и на запад.;0;0;0;3;
51;Ответвление от коридора бункера - уровень 8.;Проход идёт на запад, в низ и на север.;0;0;0;2;
52;Ответвление от коридора бункера - уровень 8.;Тупик. Проход идёт только назад на восток.;0;0;0;2;
53;Ответвление от коридора бункера - уровень 8.;Тупик. Проход идёт только назад на верх.;0;0;0;1;
