id-локации;краткое описание;полное описание;количество стрелков;количество штурмовиков;количество огневиков;количество лутбоксов;
28;Ответвление от коридора бункера - уровень 4.;Проход идёт в низ, на восток, на юг и на север.;0;0;0;0;
29;Ответвление от коридора бункера - уровень 4.;Проход идёт в низ и на верх.;0;0;0;0;
30;Ответвление от коридора бункера - уровень 4.;Проход идёт на верх, на запад и на восток.;0;0;0;0;
31;Ответвление от коридора бункера - уровень 4.;Проход идёт на север, на запад и на юг.;0;0;0;0;
32;Ответвление от коридора бункера - уровень 5.;Проход идёт на восток, на юг и на юго-восток.;0;0;0;0;
33;Ответвление от коридора бункера - уровень 5.;Проход идёт на юг, в низ, на верх и на север.;0;0;0;0;
34;Ответвление от коридора бункера - уровень 5.;Проход идёт на восток и на север.;0;0;0;0;
35;Ответвление от коридора бункера - уровень 5.;Проход идёт на север, на запад и на верх.;0;0;0;0;
36;Ответвление от коридора бункера - уровень 5.;Проход идёт на юг, в низ и на запад.;0;0;0;0;
37;Ответвление от коридора бункера - уровень 6.;Проход идёт на запад и на юго-восток.;0;0;0;0;
38;Ответвление от коридора бункера - уровень 6.;Проход идёт на север, на юг и на восток.;0;0;0;0;
39;Ответвление от коридора бункера - уровень 6.;Проход идёт на север и на юг.;0;0;0;0;
40;Ответвление от коридора бункера - уровень 6.;Проход идёт на верх и на север.;0;0;0;0;
41;Ответвление от коридора бункера - уровень 6.;Тупик. Проход идёт только назад на юг.;0;0;0;0;
42;Ответвление от коридора бункера - уровень 6.;Тупик. Проход идёт только назад в низ.;0;0;0;0;
43;Ответвление от коридора бункера - уровень 7.;Проход идёт на север и на юго-восток.;0;0;0;0;
44;Ответвление от коридора бункера - уровень 7.;Проход идёт на восток, в низ и на юг.;0;0;0;0;
45;Ответвление от коридора бункера - уровень 7.;Проход идёт на запад и на верх.;0;0;0;0;
46;Ответвление от коридора бункера - уровень 7.;Проход идёт на север и на запад.;0;0;0;0;
47;Ответвление от коридора бункера - уровень 7.;Тупик. Проход идёт только назад на восток.;0;0;0;0;
48;Ответвление от коридора бункера - уровень 7.;Тупик. Проход идёт только назад на юг.;0;0;0;0;
49;Ответвление от коридора бункера - уровень 8.;Проход идёт на восток, на юг, в низ и на юго-восток.;0;0;0;0;
50;Ответвление от коридора бункера - уровень 8.;Проход идёт на верх и на запад.;0;0;0;0;
51;Ответвление от коридора бункера - уровень 8.;Проход идёт на запад, в низ и на север.;0;0;0;0;
52;Ответвление от коридора бункера - уровень 8.;Тупик. Проход идёт только назад на восток.;0;0;0;0;
53;Ответвление от коридора бункера - уровень 8.;Тупик. Проход идёт только назад на верх.;0;0;0;0;
